Brand,Selling Price,MRP,Discount,Ratings,No_of_ratings,Core,Processor,RAM,ROM,SSD,Display
Lenovo,36990,60890,39% off,4.2,670,i3 Processor,Intel,,,256 GB,35.56 cm
Lenovo,37990,59390,36% off,4.2,3803,i3 Processor,Intel,,,512 GB,39.62 cm
ASUS,32990,45990,28% off,4.3,8727,i3 Processor,Intel,,,512 GB,39.62 cm
realme,46990,54999,14% off,4.4,11894,i3 Processor,Intel,,,256 GB,35.56 cm
DELL,38990,61202,36% off,4.3,65,i3 Processor,Intel,,1 TB,256GB,39.62 cm
HP,40990,49509,17% off,4.2,3068,i3 Processor,Intel,,,512 GB,35.56 cm
Lenovo,44990,68490,34% off,4.3,1360,,AMD,,,512 GB,39.62 cm
Lenovo,38705,60090,35% off,4.2,583,,AMD,,,512 GB,39.62 cm
APPLE,88990,99900,10% off,4.7,8401,,Apple,,,256 GB,33.78 cm
Lenovo,35590,54490,34% off,4.2,650,,AMD,,,512 GB,39.62 cm
Lenovo,64490,95790,32% off,4.3,8,,AMD,,,512 GB,39.62 cm
Infinix,22990,39990,42% off,4.2,2999,,Intel,,,256 GB,35.56 cm
acer,47990,76999,37% off,4.4,5138,,AMD,,,512 GB,39.62 cm
ASUS,40990,58990,30% off,4.4,1342,i3 Processor,Intel,,,256 GB,39.62 cm
ASUS,44990,70990,36% off,4.1,1073,,AMD,,,512 GB,35.56 cm
Lenovo,69990,78400,10% off,4.5,48,,AMD,,,512 GB,35.56 cm
Lenovo,38990,51544,24% off,4.3,159,i3 Processor,Intel,,,256 GB,38.1 cm
HP,59990,81869,26% off,4.5,155,,AMD,,,512 GB,39.62 cm
HP,58990,67832,13% off,4.2,1664,i5 Processor,Intel,,,512 GB,39.62 cm
Lenovo,73990,112608,34% off,4.0,154,i5 Processor,Intel,,,512 GB,33.02 cm
Lenovo,51990,76890,32% off,4.3,2254,i5 Processor,Intel,,,512 GB,39.62 cm
acer,58990,94999,37% off,4.3,2582,i5 Processor,Intel,,,512 GB,39.62 cm
ASUS,89990,107990,16% off,4.6,105,,AMD,,,512 GB,39.62 cm
HP,27123,43631,37% off,4.1,783,,AMD,,,256 GB,39.62 cm
ASUS,47990,72990,34% off,4.3,3382,i5 Processor,Intel,,1 TB,256 GB,39.62 cm
realme,59990,69999,14% off,4.4,6702,i5 Processor,Intel,,,512 GB,35.56 cm
