Brand,Selling Price,MRP,Discount,Ratings,No_of_ratings,RAM,ROM,Display_Size,Battery,Full_HD_or_HD,Camera
SAMSUNG,11999,14999,20% off,4.4,1019585654.0,4.0,64.0,16.76,6000.0,Full HD,50.0
REDMI,7099,9999,29% off,4.3,19537711204.0,4.0,64.0,16.59,5000.0,HD,13.0
POCO,7499,11999,37% off,4.3,17354210798.0,4.0,64.0,16.59,5000.0,HD,13.0
I Kall,5999,6299,4% off,3.2,33435.0,4.0,32.0,15.9,4000.0,,13.0
POCO,7499,11999,37% off,4.3,17354210798.0,4.0,64.0,16.59,5000.0,HD,13.0
REDMI,7099,9999,29% off,4.3,19537711204.0,4.0,64.0,16.59,5000.0,HD,13.0
REDMI,9499,14999,36% off,4.3,15519010183.0,4.0,64.0,17.02,6000.0,HD,50.0
POCO,11999,19999,40% off,4.3,12122111100.0,6.0,128.0,16.33,5000.0,Full HD,64.0
POCO,10999,17999,38% off,4.3,12122111100.0,6.0,64.0,16.33,5000.0,Full HD,64.0
POCO,10999,17999,38% off,4.3,12122111100.0,6.0,64.0,16.33,5000.0,Full HD,64.0
MOTOROLA,14999,21999,31% off,4.2,13035513236.0,6.0,128.0,17.22,6000.0,Full HD,108.0
realme,5749,8499,32% off,4.3,596303026.0,2.0,32.0,16.51,5000.0,HD,8.0
REDMI,9499,14999,36% off,4.3,15519010183.0,4.0,64.0,17.02,6000.0,HD,50.0
POCO,11999,19999,40% off,4.3,12122111100.0,6.0,128.0,16.33,5000.0,Full HD,64.0
MOTOROLA,7999,10999,27% off,4.1,499224968.0,4.0,64.0,16.51,5000.0,HD,48.0
REDMI,7099,9999,29% off,4.3,19537711204.0,4.0,64.0,16.59,5000.0,HD,13.0
SAMSUNG,11999,14999,20% off,4.4,1019585654.0,4.0,64.0,16.76,6000.0,Full HD,50.0
realme,5749,8499,32% off,4.3,596303026.0,2.0,32.0,16.51,5000.0,HD,8.0
MOTOROLA,12999,19999,35% off,4.2,181132334.0,6.0,128.0,16.76,5000.0,Full HD,50.0
realme,5749,8499,32% off,4.3,596303026.0,2.0,32.0,16.51,5000.0,HD,8.0
POCO,6499,10999,40% off,4.3,1175087240.0,3.0,32.0,16.59,5000.0,HD,13.0
POCO,6499,10999,40% off,4.3,1175087240.0,3.0,32.0,16.59,5000.0,HD,13.0
realme,6749,9299,27% off,4.1,302461977.0,3.0,32.0,16.51,5000.0,HD,8.0
MOTOROLA,7999,10999,27% off,4.1,499224968.0,4.0,64.0,16.51,5000.0,HD,48.0
SAMSUNG,16999,23999,29% off,4.3,13128310694.0,6.0,128.0,16.76,5000.0,Full HD,50.0
MOTOROLA,9999,16999,41% off,4.2,117421142.0,4.0,64.0,16.64,5000.0,Full HD,50.0
APPLE,37999,59900,36% off,4.5,1208539681.0,,64.0,13.72,,HD,12.0
POCO,11999,19999,40% off,4.3,12122111100.0,6.0,128.0,16.33,5000.0,Full HD,64.0
Infinix,5599,8999,37% off,4.4,12975659.0,2.0,32.0,16.76,5000.0,HD,8.0
POCO,10999,17999,38% off,4.3,12122111100.0,6.0,64.0,16.33,5000.0,Full HD,64.0
SAMSUNG,11999,14999,20% off,4.4,1019585654.0,4.0,64.0,16.76,6000.0,Full HD,50.0
APPLE,43999,48900,10% off,4.6,17395610293.0,,128.0,15.49,,HD,12.0
SAMSUNG,11499,14999,23% off,4.3,1000539621.0,4.0,64.0,16.26,6000.0,HD,48.0
SAMSUNG,16999,23999,29% off,4.3,13128310694.0,6.0,128.0,16.76,5000.0,Full HD,50.0
realme,11499,16999,32% off,4.5,1091106387.0,4.0,128.0,16.76,5000.0,Full HD,50.0
realme,11499,16999,32% off,4.5,1091106387.0,4.0,128.0,16.76,5000.0,Full HD,50.0
MOTOROLA,12999,19999,35% off,4.2,181132334.0,6.0,128.0,16.76,5000.0,Full HD,50.0
POCO,12999,18999,31% off,4.1,208701717.0,6.0,128.0,16.71,5000.0,Full HD,50.0
realme,8799,10999,20% off,4.5,446811760.0,3.0,32.0,16.56,5000.0,HD,13.0
realme,8799,10999,20% off,4.5,446811760.0,3.0,32.0,16.56,5000.0,HD,13.0
realme,14999,20999,28% off,4.4,505453566.0,6.0,128.0,16.26,5000.0,Full HD,108.0
realme,18999,20999,9% off,4.8,51.0,6.0,128.0,17.07,5000.0,Full HD,108.0
realme,18999,20999,9% off,4.8,51.0,6.0,128.0,17.07,5000.0,Full HD,108.0
realme,13499,17999,25% off,4.5,247891479.0,6.0,128.0,16.76,5000.0,Full HD,50.0
realme,19999,22999,13% off,4.6,15324.0,8.0,128.0,17.07,5000.0,Full HD,108.0
realme,19999,22999,13% off,4.6,15324.0,8.0,128.0,17.07,5000.0,Full HD,108.0
realme,18999,20999,9% off,4.8,51.0,6.0,128.0,17.07,5000.0,Full HD,108.0
vivo,11999,16990,29% off,4.5,627243519.0,4.0,64.0,16.71,5000.0,Full HD,50.0
vivo,11999,16990,29% off,4.5,627243519.0,4.0,64.0,16.71,5000.0,Full HD,50.0
realme,9499,11999,20% off,4.4,540902572.0,4.0,64.0,16.56,5000.0,HD,13.0
realme,9499,11999,20% off,4.4,540902572.0,4.0,64.0,16.56,5000.0,HD,13.0
APPLE,62999,69900,9% off,4.7,1712619345.0,,128.0,15.49,,,12.0
vivo,14499,19990,27% off,4.5,704075104.0,4.0,128.0,16.36,5000.0,Full HD,50.0
vivo,14499,19990,27% off,4.5,704075104.0,4.0,128.0,16.36,5000.0,Full HD,50.0
vivo,14499,19990,27% off,4.5,704075104.0,4.0,128.0,16.36,5000.0,Full HD,50.0
vivo,12999,17990,27% off,4.5,627243519.0,4.0,128.0,16.71,5000.0,Full HD,50.0
vivo,12999,17990,27% off,4.5,627243519.0,4.0,128.0,16.71,5000.0,Full HD,50.0
realme,14999,20999,28% off,4.4,505453566.0,6.0,128.0,16.26,5000.0,Full HD,108.0
OPPO,14990,18999,21% off,4.4,886806417.0,6.0,128.0,16.74,5000.0,Full HD,50.0
vivo,15999,20990,23% off,4.4,411083208.0,6.0,128.0,16.36,5000.0,Full HD,50.0
vivo,14999,18990,21% off,4.4,3088188.0,6.0,128.0,16.71,5000.0,Full HD,50.0
Infinix,8599,12999,33% off,4.2,13046963.0,4.0,64.0,17.32,6000.0,HD,50.0
Infinix,8599,12999,33% off,4.2,13046963.0,4.0,64.0,17.32,6000.0,HD,50.0
Infinix,8599,12999,33% off,4.2,13046963.0,4.0,64.0,17.32,6000.0,HD,50.0
POCO,12999,16999,23% off,4.3,307322739.0,4.0,64.0,16.76,5000.0,Full HD,50.0
realme,8999,11999,25% off,4.4,15470625.0,3.0,32.0,16.51,5000.0,HD,50.0
realme,8999,11999,25% off,4.4,15470625.0,3.0,32.0,16.51,5000.0,HD,50.0
I Kall,1242,1274,2% off,3.3,1010170.0,,,6.1,2500.0,,3.0
realme,8999,11999,25% off,4.4,15470625.0,3.0,32.0,16.51,5000.0,HD,50.0
SAMSUNG,16999,23999,29% off,4.3,13128310694.0,6.0,128.0,16.76,5000.0,Full HD,50.0
realme,13499,17999,25% off,4.5,247891479.0,6.0,128.0,16.76,5000.0,Full HD,50.0
APPLE,37999,59900,36% off,4.5,1208539681.0,,64.0,13.72,,HD,12.0
SAMSUNG,13499,16999,20% off,4.3,636265869.0,6.0,128.0,16.26,6000.0,HD,48.0
APPLE,45999,48900,5% off,4.6,17395610293.0,,128.0,15.49,,HD,12.0
vivo,15999,20990,23% off,4.4,411083208.0,6.0,128.0,16.36,5000.0,Full HD,50.0
OPPO,19990,29990,33% off,4.3,211182179.0,8.0,128.0,16.33,4310.0,Full HD,48.0
realme,11999,13999,14% off,4.4,1560549226.0,4.0,64.0,16.76,5000.0,Full HD,50.0
OPPO,19990,29990,33% off,4.3,211182179.0,8.0,128.0,16.33,4310.0,Full HD,48.0
vivo,15990,19990,20% off,4.3,575444636.0,4.0,128.0,16.71,5000.0,Full HD,50.0
vivo,16990,20990,19% off,4.4,15216112373.0,6.0,128.0,16.71,5000.0,Full HD,50.0
POCO,12999,16999,23% off,4.3,307322739.0,4.0,64.0,16.76,5000.0,Full HD,50.0
realme,6499,9999,35% off,4.5,2977106.0,2.0,32.0,16.51,5000.0,HD,8.0
Infinix,8599,12999,33% off,4.2,13046963.0,4.0,64.0,17.32,6000.0,HD,50.0
realme,9999,12999,23% off,4.5,489952074.0,4.0,64.0,16.51,5000.0,HD,50.0
realme,9999,12999,23% off,4.5,489952074.0,4.0,64.0,16.51,5000.0,HD,50.0
realme,9999,12999,23% off,4.5,489952074.0,4.0,64.0,16.51,5000.0,HD,50.0
REDMI,11499,16999,32% off,4.3,248821515.0,6.0,64.0,16.33,5000.0,Full HD,64.0
MOTOROLA,12999,17999,27% off,4.1,158891981.0,4.0,64.0,17.27,5000.0,Full HD,50.0
Nokia,1299,1599,18% off,4.2,220571584.0,,,4.5,800.0,,0.0
MOTOROLA,14999,21999,31% off,4.0,2545438.0,6.0,128.0,16.64,5000.0,Full HD,108.0
vivo,15990,19990,20% off,4.3,575444636.0,4.0,128.0,16.71,5000.0,Full HD,50.0
Infinix,8499,11999,29% off,4.3,1051657797.0,4.0,64.0,17.32,6000.0,HD,13.0
Infinix,8499,11999,29% off,4.3,1051657797.0,4.0,64.0,17.32,6000.0,HD,13.0
Infinix,8499,11999,29% off,4.3,1051657797.0,4.0,64.0,17.32,6000.0,HD,13.0
APPLE,43999,64900,32% off,4.5,1208539681.0,,128.0,13.72,,HD,12.0
APPLE,45999,48900,5% off,4.6,17395610293.0,,128.0,15.49,,HD,12.0
REDMI,11499,16999,32% off,4.3,248821515.0,6.0,64.0,16.33,5000.0,Full HD,64.0
realme,6499,9999,35% off,4.5,2977106.0,2.0,32.0,16.51,5000.0,HD,8.0
